phase,label,target_service,workload,placement_mode,users,duration_seconds,decision,health_code,locust_exit,metrics_exit,locust_request_count,locust_failure_count,locust_failure_pct,locust_median_ms,locust_avg_latency_ms,locust_p95_ms,locust_p99_ms,locust_req_rate,service,deployment,backend,cpu_pct,mem_pct,service_request_count,service_req_rate,service_error_count,service_error_pct,service_p50_ms,service_p95_ms,service_p99_ms,service_avg_latency_ms,exec_grpc_ms,faas_exec_p99_ms,cold_start_count,cold_start_p99_ms,metric_source,data_quality,stats_file,metrics_file
phase3,phase3_frontend_100,frontend,browse,hybrid,100,300,completed,200,0,0,29448,261,0.8863,560.00,789.75,3100.00,4000.00,98.4846,cartservice,iaas,iaas,1.5031,,,,,,,,,,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms,testing/results/all_microservices/allmicro-20260504T132028Z/phase3/phase3_frontend_100_stats.csv,testing/results/all_microservices/allmicro-20260504T132028Z/phase3/phase3_frontend_100_metrics.csv
phase3,phase3_frontend_100,frontend,browse,hybrid,100,300,completed,200,0,0,29448,261,0.8863,560.00,789.75,3100.00,4000.00,98.4846,checkoutservice,iaas,iaas,0.0006,,,,,,,,,,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms,testing/results/all_microservices/allmicro-20260504T132028Z/phase3/phase3_frontend_100_stats.csv,testing/results/all_microservices/allmicro-20260504T132028Z/phase3/phase3_frontend_100_metrics.csv
phase3,phase3_frontend_100,frontend,browse,hybrid,100,300,completed,200,0,0,29448,261,0.8863,560.00,789.75,3100.00,4000.00,98.4846,currencyservice,hybrid-dynamic,iaas,65.8556,,23109.8000,,,,238.60,680.63,943.31,263.60,4.97,,,,prometheus:kubernetes|bridge|openfaas|controller,missing:mem_pct|error_count|error_pct,testing/results/all_microservices/allmicro-20260504T132028Z/phase3/phase3_frontend_100_stats.csv,testing/results/all_microservices/allmicro-20260504T132028Z/phase3/phase3_frontend_100_metrics.csv
phase3,phase3_frontend_100,frontend,browse,hybrid,100,300,completed,200,0,0,29448,261,0.8863,560.00,789.75,3100.00,4000.00,98.4846,emailservice,hybrid-dynamic,faas,0.0732,,,,,,,,,,,,,,prometheus:kubernetes|bridge|openfaas|controller,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms,testing/results/all_microservices/allmicro-20260504T132028Z/phase3/phase3_frontend_100_stats.csv,testing/results/all_microservices/allmicro-20260504T132028Z/phase3/phase3_frontend_100_metrics.csv
phase3,phase3_frontend_100,frontend,browse,hybrid,100,300,completed,200,0,0,29448,261,0.8863,560.00,789.75,3100.00,4000.00,98.4846,paymentservice,iaas,iaas,0.0113,,,,,,,,,,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms,testing/results/all_microservices/allmicro-20260504T132028Z/phase3/phase3_frontend_100_stats.csv,testing/results/all_microservices/allmicro-20260504T132028Z/phase3/phase3_frontend_100_metrics.csv
phase3,phase3_frontend_100,frontend,browse,hybrid,100,300,completed,200,0,0,29448,261,0.8863,560.00,789.75,3100.00,4000.00,98.4846,shippingservice,hybrid-dynamic,faas,0.0561,,,,,,,,,,,,,,prometheus:kubernetes|bridge|openfaas|controller,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms,testing/results/all_microservices/allmicro-20260504T132028Z/phase3/phase3_frontend_100_stats.csv,testing/results/all_microservices/allmicro-20260504T132028Z/phase3/phase3_frontend_100_metrics.csv
phase3,phase3_frontend_100,frontend,browse,hybrid,100,300,completed,200,0,0,29448,261,0.8863,560.00,789.75,3100.00,4000.00,98.4846,adservice,hybrid-dynamic,iaas,35.4671,,17639.7692,,2.5000,0.0142,3.29,9.96,77.90,5.27,4.95,,,,prometheus:kubernetes|bridge|openfaas|controller,missing:mem_pct,testing/results/all_microservices/allmicro-20260504T132028Z/phase3/phase3_frontend_100_stats.csv,testing/results/all_microservices/allmicro-20260504T132028Z/phase3/phase3_frontend_100_metrics.csv
phase3,phase3_frontend_100,frontend,browse,hybrid,100,300,completed,200,0,0,29448,261,0.8863,560.00,789.75,3100.00,4000.00,98.4846,recommendationservice,iaas,iaas,7.7132,,,,,,,,,,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms,testing/results/all_microservices/allmicro-20260504T132028Z/phase3/phase3_frontend_100_stats.csv,testing/results/all_microservices/allmicro-20260504T132028Z/phase3/phase3_frontend_100_metrics.csv
phase3,phase3_frontend_100,frontend,browse,hybrid,100,300,completed,200,0,0,29448,261,0.8863,560.00,789.75,3100.00,4000.00,98.4846,redis-cart,iaas,iaas,3.6946,,,,,,,,,,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms,testing/results/all_microservices/allmicro-20260504T132028Z/phase3/phase3_frontend_100_stats.csv,testing/results/all_microservices/allmicro-20260504T132028Z/phase3/phase3_frontend_100_metrics.csv
phase3,calibration_productcatalogservice_50,productcatalogservice,browse-product,calibration,50,180,completed,200,0,0,11828,7,0.0592,440.00,532.22,1100.00,1500.00,65.8721,frontend,iaas,iaas,59.5198,,,,,,,,,,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms,testing/results/all_microservices/allmicro-20260504T132028Z/phase3/calibration_productcatalogservice_50_stats.csv,testing/results/all_microservices/allmicro-20260504T132028Z/phase3/calibration_productcatalogservice_50_metrics.csv
phase3,calibration_productcatalogservice_50,productcatalogservice,browse-product,calibration,50,180,completed,200,0,0,11828,7,0.0592,440.00,532.22,1100.00,1500.00,65.8721,productcatalogservice,iaas,iaas,16.4654,,,,,,,,,,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms,testing/results/all_microservices/allmicro-20260504T132028Z/phase3/calibration_productcatalogservice_50_stats.csv,testing/results/all_microservices/allmicro-20260504T132028Z/phase3/calibration_productcatalogservice_50_metrics.csv
phase3,calibration_productcatalogservice_50,productcatalogservice,browse-product,calibration,50,180,completed,200,0,0,11828,7,0.0592,440.00,532.22,1100.00,1500.00,65.8721,cartservice,iaas,iaas,2.6639,,,,,,,,,,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms,testing/results/all_microservices/allmicro-20260504T132028Z/phase3/calibration_productcatalogservice_50_stats.csv,testing/results/all_microservices/allmicro-20260504T132028Z/phase3/calibration_productcatalogservice_50_metrics.csv
phase3,calibration_productcatalogservice_50,productcatalogservice,browse-product,calibration,50,180,completed,200,0,0,11828,7,0.0592,440.00,532.22,1100.00,1500.00,65.8721,checkoutservice,iaas,iaas,0.0005,,,,,,,,,,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms,testing/results/all_microservices/allmicro-20260504T132028Z/phase3/calibration_productcatalogservice_50_stats.csv,testing/results/all_microservices/allmicro-20260504T132028Z/phase3/calibration_productcatalogservice_50_metrics.csv
phase3,calibration_productcatalogservice_50,productcatalogservice,browse-product,calibration,50,180,completed,200,0,0,11828,7,0.0592,440.00,532.22,1100.00,1500.00,65.8721,currencyservice,hybrid-dynamic,faas,43.2247,,56010.3969,223.1111,,,87.29,472.31,849.87,141.17,4.97,,,,prometheus:kubernetes|bridge|openfaas|controller,missing:mem_pct|error_count|error_pct,testing/results/all_microservices/allmicro-20260504T132028Z/phase3/calibration_productcatalogservice_50_stats.csv,testing/results/all_microservices/allmicro-20260504T132028Z/phase3/calibration_productcatalogservice_50_metrics.csv
