Application,Deployment,Load,Target service,Service,Backend,Requests,Fails,Median latency (ms),Average latency (ms),p95 latency (ms),p99 latency (ms),CPU (%),Memory (%),Service p50 latency (ms),Service p95 latency (ms),Service p99 latency (ms),Metric source,Data quality
GoB,IaaS only,cartservice 350 users (cart),cartservice,emailservice,iaas,41774,0,2600.00,2348.40,3800.00,4200.00,0.4744,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms
GoB,IaaS only,cartservice 350 users (cart),cartservice,paymentservice,iaas,41774,0,2600.00,2348.40,3800.00,4200.00,0.0114,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms
GoB,IaaS only,cartservice 350 users (cart),cartservice,shippingservice,iaas,41774,0,2600.00,2348.40,3800.00,4200.00,2.6648,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms
GoB,IaaS only,cartservice 350 users (cart),cartservice,adservice,iaas,41774,0,2600.00,2348.40,3800.00,4200.00,2.0830,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms
GoB,IaaS only,cartservice 350 users (cart),cartservice,recommendationservice,iaas,41774,0,2600.00,2348.40,3800.00,4200.00,30.2651,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms
GoB,IaaS only,cartservice 350 users (cart),cartservice,redis-cart,iaas,41774,0,2600.00,2348.40,3800.00,4200.00,4.4181,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms
GoB,Hybrid,cartservice 350 users (cart),cartservice,frontend,iaas,34162,635,2900.00,2903.95,6300.00,13000.00,36.7589,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms
GoB,Hybrid,cartservice 350 users (cart),cartservice,productcatalogservice,iaas,34162,635,2900.00,2903.95,6300.00,13000.00,13.2193,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms
GoB,Hybrid,cartservice 350 users (cart),cartservice,cartservice,iaas,34162,635,2900.00,2903.95,6300.00,13000.00,1.5973,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms
GoB,Hybrid,cartservice 350 users (cart),cartservice,checkoutservice,iaas,34162,635,2900.00,2903.95,6300.00,13000.00,0.0005,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms
GoB,Hybrid,cartservice 350 users (cart),cartservice,currencyservice,iaas,34162,635,2900.00,2903.95,6300.00,13000.00,58.2155,,813.90,2371.09,4187.08,prometheus:kubernetes|bridge|openfaas|controller,missing:mem_pct|error_count|error_pct
GoB,Hybrid,cartservice 350 users (cart),cartservice,emailservice,faas,34162,635,2900.00,2903.95,6300.00,13000.00,0.0680,,,,,prometheus:kubernetes|bridge|openfaas|controller,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms
GoB,Hybrid,cartservice 350 users (cart),cartservice,paymentservice,iaas,34162,635,2900.00,2903.95,6300.00,13000.00,0.0105,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms
GoB,Hybrid,cartservice 350 users (cart),cartservice,shippingservice,iaas,34162,635,2900.00,2903.95,6300.00,13000.00,5.2504,,12.45,92.37,196.20,prometheus:kubernetes|bridge|openfaas|controller,missing:mem_pct|error_count|error_pct
GoB,Hybrid,cartservice 350 users (cart),cartservice,adservice,faas,34162,635,2900.00,2903.95,6300.00,13000.00,6.8452,,6.57,65.72,98.14,prometheus:kubernetes|bridge|openfaas|controller,missing:mem_pct
GoB,Hybrid,cartservice 350 users (cart),cartservice,recommendationservice,iaas,34162,635,2900.00,2903.95,6300.00,13000.00,24.1416,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms
GoB,Hybrid,cartservice 350 users (cart),cartservice,redis-cart,iaas,34162,635,2900.00,2903.95,6300.00,13000.00,4.2304,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms
